condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D0,0,Z0-south,26,1,0.9998177336324183,0.0001822663675816738,6.992400513172336e-05,0.0004483659266622553,0.002499276015109185,1.0654095590250673e-10,0.021790339513437923,0,0
D0,0,Z0-south,27,2,1.0009521487708528,0.000952148770852812,0.00036539354915038184,0.002343040991550241,0.013060579219083528,2.9092815223953917e-09,0.021790339513437923,0,0
D0,0,Z0-south,28,3,0.997077710206935,0.0029222897930649694,0.0011202475650785766,0.00718273544565369,0.04003772059305422,2.7345886961888096e-08,0.021790339513437923,0,0
D0,0,Z0-south,29,4,0.99938928301574,0.0006107169842599625,0.00023426547403378775,0.0015021379183924803,0.008373192662141565,1.1958606381494698e-09,0.021790339513437923,0,0
D0,0,Z0-south,30,0,1.0009097395500128,0.0009097395500128336,0.00034911462597347654,0.0022386519538742235,0.012478692827084971,2.6558288511196237e-09,0.021790339513437923,0,0
D0,0,Z0-south,31,1,0.9976855083575358,0.0023144916424642226,0.0008873997580020696,0.005689864068212136,0.03171624971107338,1.7159420181116727e-08,0.021790339513437923,0,0
D0,0,Z0-south,32,2,1.0007443652702817,0.000744365270281655,0.00028563879788906873,0.0018316136685698145,0.01020977695659057,1.7778634038481763e-09,0.021790339513437923,0,0
D0,0,Z0-south,33,3,0.9996829746413489,0.0003170253586510796,0.00012161791988526271,0.0007798343678336475,0.004346942366664986,3.222991344625528e-10,0.021790339513437923,0,0
D0,0,Z0-south,34,4,0.9995849604738386,0.00041503952616139816,0.00015921399980240098,0.0010209041244632854,0.0056907091640782835,5.523654459631097e-10,0.021790339513437923,0,0
D0,0,Z0-south,35,0,1.0037744730038836,0.0037744730038835606,0.001449611815247869,0.009296138844809426,0.05181882670624215,4.578966194565854e-08,0.021790339513437923,0,0
D0,0,Z0-south,36,1,1.0003243095571919,0.0003243095571918708,0.00012443437392014225,0.0007979071165311755,0.004447688583816694,3.3739973026371793e-10,0.021790339513437923,0,0
D0,0,Z0-south,37,2,0.9997866932756486,0.00021330672435138087,8.183151186215177e-05,0.0005247186896252611,0.00292488050899684,1.4591674962667607e-10,0.021790339513437923,0,0
D0,0,Z0-south,38,3,1.0011651489076532,0.0011651489076531796,0.000447160152744844,0.002867375030157469,0.01598332857849592,4.357026372458433e-09,0.021790339513437923,0,0
